id,name,duration,firstYearRelease,countryOfOrigin,productionCompany,banner,genres
180,In the Shadow of the Machine,44,1977,China,Mraz-Hoppe,http://dummyimage.com/186x100.png/cc0000/ffffff,"[""Documentary""]"
181,Macon County Line,104,1972,Indonesia,Hoppe-Langworth,http://dummyimage.com/151x100.png/cc0000/ffffff,"[""Action"",""Drama""]"
182,"Night Walker, The",29,1993,Guinea,Hammes-Hane,http://dummyimage.com/236x100.png/5fa2dd/ffffff,"[""Horror"",""Mystery"",""Thriller""]"
183,Papillon,62,2000,China,"Macejkovic, Hodkiewicz and Ebert",http://dummyimage.com/122x100.png/ff4444/ffffff,"[""Crime"",""Drama""]"
184,News from Home,95,1985,China,"Koch, Yost and Miller",http://dummyimage.com/113x100.png/5fa2dd/ffffff,"[""Drama""]"
185,"Discovery of Heaven, The",57,1993,Philippines,Purdy Inc,http://dummyimage.com/157x100.png/cc0000/ffffff,"[""Drama""]"
186,ATF ,193,1975,Indonesia,"Beier, Kirlin and DuBuque",http://dummyimage.com/127x100.png/cc0000/ffffff,"[""Drama"",""Thriller""]"
187,Death In Love,53,2015,China,Berge-Grimes,http://dummyimage.com/160x100.png/cc0000/ffffff,"[""Drama"",""Romance"",""War""]"
188,California,138,2009,Russia,Abshire Group,http://dummyimage.com/245x100.png/5fa2dd/ffffff,"[""Romance"",""Western""]"
189,Fiddle-de-dee,100,1977,Russia,Brekke-Lockman,http://dummyimage.com/103x100.png/cc0000/ffffff,"[""Animation"",""Musical""]"
190,"Trials of Oscar Wilde, The",34,1996,Indonesia,Howe-Bahringer,http://dummyimage.com/109x100.png/dddddd/000000,"[""Drama""]"
191,"Machine Girl, The (Kataude mashin gâru)",124,1973,Nigeria,Boyle-Labadie,http://dummyimage.com/168x100.png/cc0000/ffffff,"[""Action"",""Comedy"",""Fantasy"",""Horror"",""Thriller""]"
192,Casanova's Big Night,165,1989,Indonesia,Graham and Sons,http://dummyimage.com/227x100.png/cc0000/ffffff,"[""Adventure"",""Comedy""]"
193,"Spitfire Grill, The",147,1967,Brazil,Murazik-Schroeder,http://dummyimage.com/144x100.png/cc0000/ffffff,"[""Drama""]"
194,Vampire Hunter D,164,1971,China,"Hand, Schowalter and Koelpin",http://dummyimage.com/108x100.png/ff4444/ffffff,"[""Animation"",""Fantasy"",""Horror""]"
195,Johnny Guitar,53,1960,Poland,Hessel-Conroy,http://dummyimage.com/149x100.png/5fa2dd/ffffff,"[""Drama"",""Western""]"
196,Flawless,101,1974,Japan,Simonis LLC,http://dummyimage.com/229x100.png/ff4444/ffffff,"[""Drama""]"
197,"Reuben, Reuben",169,2013,Laos,"Ziemann, Gleichner and Schamberger",http://dummyimage.com/114x100.png/cc0000/ffffff,"[""Comedy"",""Drama"",""Romance""]"
198,Comrades: Almost a Love Story (Tian mi mi),45,1950,Spain,Botsford LLC,http://dummyimage.com/244x100.png/dddddd/000000,"[""Drama"",""Romance""]"
199,"Point, The",104,1971,China,Hickle Group,http://dummyimage.com/206x100.png/dddddd/000000,"[""Animation"",""Children"",""Fantasy"",""Musical""]"
200,All Is Lost,21,1961,Nepal,Windler-Anderson,http://dummyimage.com/214x100.png/cc0000/ffffff,"[""Action"",""Adventure"",""Drama""]"
201,Dragon Hunter,102,1968,China,Tromp Group,http://dummyimage.com/116x100.png/5fa2dd/ffffff,"[""Action"",""Adventure"",""Fantasy""]"
202,Asfalttilampaat,179,1986,Sweden,Lueilwitz LLC,http://dummyimage.com/194x100.png/5fa2dd/ffffff,"[""Drama""]"
203,Sixteen Candles,175,1972,China,"Barrows, Torphy and Gibson",http://dummyimage.com/174x100.png/5fa2dd/ffffff,"[""Comedy"",""Romance""]"
204,Open House ,186,1980,China,"Bergstrom, Grimes and Quigley",http://dummyimage.com/157x100.png/ff4444/ffffff,"[""Crime"",""Drama"",""Thriller""]"
205,Tempest,109,1986,France,Kiehn-Nikolaus,http://dummyimage.com/134x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
206,My Beautiful Laundrette,128,1997,Russia,"Larson, Ritchie and Kub",http://dummyimage.com/152x100.png/dddddd/000000,"[""Drama"",""Romance""]"
207,"Tailor of Panama, The",85,2014,Colombia,"Flatley, Abbott and Lynch",http://dummyimage.com/176x100.png/ff4444/ffffff,"[""Drama"",""Thriller""]"
208,Welcome to Sherwood! The Story of 'The Adventures of Robin Hood',55,1983,France,Kuphal Inc,http://dummyimage.com/168x100.png/dddddd/000000,"[""Documentary""]"
209,Insomnia,123,2005,China,Dicki-Stamm,http://dummyimage.com/230x100.png/cc0000/ffffff,"[""Action"",""Crime"",""Drama"",""Mystery"",""Thriller""]"
210,Tarzan Escapes,196,2022,China,Strosin LLC,http://dummyimage.com/214x100.png/dddddd/000000,"[""Action"",""Adventure""]"
211,Fiorile,175,1969,China,Hand-Morar,http://dummyimage.com/220x100.png/5fa2dd/ffffff,"[""Drama""]"
212,Once Upon a Time in the West (C'era una volta il West),117,1987,France,"Franecki, Rogahn and Kunze",http://dummyimage.com/178x100.png/dddddd/000000,"[""Action"",""Drama"",""Western""]"
213,Unbeatable (Ji zhan),98,1991,South Africa,Hammes-Graham,http://dummyimage.com/191x100.png/dddddd/000000,"[""Action"",""Drama""]"
214,About Last Night,183,1993,Argentina,Wiegand LLC,http://dummyimage.com/201x100.png/5fa2dd/ffffff,"[""Comedy"",""Romance""]"
215,Le Donk & Scor-zay-zee,70,1951,Brazil,Treutel and Sons,http://dummyimage.com/107x100.png/ff4444/ffffff,"[""Comedy""]"
216,Wonder Boys,27,1965,Iran,Pollich and Sons,http://dummyimage.com/194x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
217,Goal! The Dream Begins (Goal!),48,1978,China,Raynor-Blick,http://dummyimage.com/148x100.png/ff4444/ffffff,"[""Drama""]"
218,Time and Tide (Seunlau Ngaklau),199,1984,Ukraine,"Spencer, Rolfson and Berge",http://dummyimage.com/186x100.png/5fa2dd/ffffff,"[""Action"",""Crime"",""Thriller""]"
219,My Bodyguard,15,1981,Argentina,Keebler-Kub,http://dummyimage.com/144x100.png/5fa2dd/ffffff,"[""Drama""]"
220,Juliet of the Spirits (Giulietta degli spiriti),49,1954,Iran,"Doyle, Shields and Leannon",http://dummyimage.com/155x100.png/ff4444/ffffff,"[""Comedy"",""Drama"",""Fantasy"",""Romance""]"
221,The Butterfly Effect,89,1985,Brazil,Grant-Batz,http://dummyimage.com/232x100.png/cc0000/ffffff,"[""Drama"",""Sci-Fi"",""Thriller""]"
222,Crank,128,1963,Greece,"McCullough, Dicki and Bernier",http://dummyimage.com/230x100.png/cc0000/ffffff,"[""Action"",""Thriller""]"
223,Pokémon the Movie: White - Victini and Zekrom,198,1993,Indonesia,"Hoeger, Buckridge and Bruen",http://dummyimage.com/226x100.png/cc0000/ffffff,"[""Animation""]"
224,"Sentimental Swordsman, The (To ching chien ko wu ching chien)",125,2022,Israel,"Barton, Lang and Toy",http://dummyimage.com/178x100.png/cc0000/ffffff,"[""Action"",""Adventure""]"
225,Rocky VI ,152,1978,Philippines,Runolfsdottir-Schuppe,http://dummyimage.com/234x100.png/cc0000/ffffff,"[""Comedy""]"
226,"Pride and the Passion, The",196,1998,Guatemala,"Littel, Dickinson and Beahan",http://dummyimage.com/234x100.png/dddddd/000000,"[""Adventure"",""War""]"
227,Disraeli,32,1985,Morocco,Schimmel-Wilderman,http://dummyimage.com/112x100.png/cc0000/ffffff,"[""Drama""]"
228,Naked Ambition: An R Rated Look at an X Rated Industry ,59,2023,France,"Christiansen, Abbott and Bartell",http://dummyimage.com/226x100.png/ff4444/ffffff,"[""Documentary""]"
229,Wolfen,180,1985,Sri Lanka,Ortiz LLC,http://dummyimage.com/154x100.png/cc0000/ffffff,"[""Horror""]"
230,Escape from New York,72,1961,Grenada,Hane LLC,http://dummyimage.com/160x100.png/dddddd/000000,"[""Action"",""Adventure"",""Sci-Fi"",""Thriller""]"
231,Spine Tingler!  The William Castle Story,180,1971,China,Glover-Kemmer,http://dummyimage.com/245x100.png/ff4444/ffffff,"[""Documentary""]"
232,Bride of the Wind,190,1980,Greece,"Stoltenberg, Pfannerstill and Hackett",http://dummyimage.com/101x100.png/5fa2dd/ffffff,"[""Drama"",""Musical"",""Romance""]"
233,Our Daily Bread (Unser täglich Brot),181,1984,China,"Crona, Turner and Larson",http://dummyimage.com/113x100.png/dddddd/000000,"[""Documentary""]"
234,Into the Storm,197,2021,Sweden,Ziemann-Kessler,http://dummyimage.com/135x100.png/dddddd/000000,"[""Drama"",""War""]"
235,Abols Upe,98,1991,China,Satterfield-Runolfsson,http://dummyimage.com/126x100.png/ff4444/ffffff,"[""Drama""]"
236,200 Motels,28,2010,Sri Lanka,"Bogisich, Wuckert and Schneider",http://dummyimage.com/100x100.png/5fa2dd/ffffff,"[""Comedy"",""Musical""]"
237,Blood Beach,47,2008,China,Waters LLC,http://dummyimage.com/230x100.png/cc0000/ffffff,"[""Horror"",""Mystery""]"
238,"Croods, The",167,1973,Zambia,"Beer, O'Kon and O'Kon",http://dummyimage.com/172x100.png/ff4444/ffffff,"[""Adventure"",""Animation"",""Comedy""]"
239,Quand je serai petit,62,1990,Brazil,"Weimann, Bechtelar and O'Kon",http://dummyimage.com/115x100.png/dddddd/000000,"[""Drama""]"
240,Jack the Ripper,78,1996,Argentina,Koss Inc,http://dummyimage.com/168x100.png/dddddd/000000,"[""Crime"",""Drama"",""Mystery"",""Thriller""]"
241,Passenger 57,144,2007,Spain,Kiehn-Stiedemann,http://dummyimage.com/230x100.png/dddddd/000000,"[""Action"",""Thriller""]"
242,"Decline of Western Civilization, The",34,1974,Russia,"Monahan, Reichel and Boehm",http://dummyimage.com/153x100.png/ff4444/ffffff,"[""Documentary"",""Musical""]"
243,Port of Flowers,180,1956,South Africa,Mann-Vandervort,http://dummyimage.com/139x100.png/ff4444/ffffff,"[""(no genres listed)""]"
244,Irreversible (Irréversible),91,2002,Indonesia,"Satterfield, Blick and Schumm",http://dummyimage.com/195x100.png/dddddd/000000,"[""Crime"",""Drama"",""Mystery"",""Thriller""]"
245,"Bekännelsen (Confession, The)",142,1951,Peru,O'Conner Inc,http://dummyimage.com/123x100.png/ff4444/ffffff,"[""Thriller""]"
246,Chill,137,2006,Colombia,Yost Group,http://dummyimage.com/171x100.png/dddddd/000000,"[""Horror"",""Mystery"",""Thriller""]"
247,Confidential Report,126,1987,Indonesia,Heaney Inc,http://dummyimage.com/248x100.png/5fa2dd/ffffff,"[""Crime"",""Drama"",""Mystery"",""Thriller""]"
248,Skins,109,1954,Hong Kong,"Hintz, Miller and Rogahn",http://dummyimage.com/175x100.png/ff4444/ffffff,"[""Crime"",""Drama""]"
249,Hoffman,113,2003,Sweden,"Kshlerin, Dach and Kreiger",http://dummyimage.com/111x100.png/dddddd/000000,"[""Comedy"",""Drama"",""Romance""]"
250,"Hugh Hefner: Playboy, Activist and Rebel",75,1953,Argentina,Wisozk-Cole,http://dummyimage.com/129x100.png/ff4444/ffffff,"[""Documentary""]"
251,Gypsy 83,59,2021,Germany,Brakus-Dickinson,http://dummyimage.com/121x100.png/5fa2dd/ffffff,"[""Drama""]"
252,Just Between Friends,98,1962,Russia,Beier-Pfeffer,http://dummyimage.com/234x100.png/dddddd/000000,"[""Drama""]"
253,Dream Boy,30,1987,Greece,Heller and Sons,http://dummyimage.com/166x100.png/dddddd/000000,"[""Drama"",""Romance""]"
254,Unconditional Love,53,1956,Poland,Mueller LLC,http://dummyimage.com/161x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
255,The Smiling Ghost,131,1969,Poland,Stoltenberg-Reinger,http://dummyimage.com/185x100.png/cc0000/ffffff,"[""Comedy"",""Mystery""]"
256,"Skeleton Twins, The",153,1969,Czech Republic,"Hammes, Tillman and Kemmer",http://dummyimage.com/124x100.png/cc0000/ffffff,"[""Drama""]"
257,Alias the Doctor,80,2018,Russia,Nader Inc,http://dummyimage.com/143x100.png/cc0000/ffffff,"[""Drama""]"
258,True Lies,42,1976,China,"O'Kon, Strosin and Stoltenberg",http://dummyimage.com/123x100.png/cc0000/ffffff,"[""Action"",""Adventure"",""Comedy"",""Romance"",""Thriller""]"
259,Moonlight Mile,183,2022,China,"Zulauf, Lueilwitz and Blanda",http://dummyimage.com/148x100.png/cc0000/ffffff,"[""Drama"",""Romance""]"
260,Stir Crazy,41,2015,Mexico,"Bosco, Bogan and King",http://dummyimage.com/162x100.png/5fa2dd/ffffff,"[""Comedy""]"
261,Hands Over the City (Le mani sulla città),140,2012,China,Crooks-Stamm,http://dummyimage.com/129x100.png/dddddd/000000,"[""Drama""]"
262,"Big Mommas: Like Father, Like Son",71,1982,Mexico,Lowe-Prohaska,http://dummyimage.com/247x100.png/cc0000/ffffff,"[""Comedy""]"
263,Body Heat,104,2000,Myanmar,"Morissette, Auer and Mayer",http://dummyimage.com/137x100.png/ff4444/ffffff,"[""Crime"",""Thriller""]"
264,From the Clouds to the Resistance (Dalla nube alla resistenza),145,1975,China,Bradtke Group,http://dummyimage.com/224x100.png/cc0000/ffffff,"[""Drama""]"
265,Born to Win,48,1964,China,"Kshlerin, Hamill and Graham",http://dummyimage.com/191x100.png/cc0000/ffffff,"[""Drama""]"
266,Dead End Drive-In,87,1998,Indonesia,"VonRueden, Jaskolski and Sawayn",http://dummyimage.com/133x100.png/dddddd/000000,"[""Action"",""Drama"",""Horror"",""Sci-Fi"",""Thriller""]"
267,Ten Thousand Saints,129,1997,Portugal,"Aufderhar, Reichel and Schaefer",http://dummyimage.com/102x100.png/ff4444/ffffff,"[""Comedy"",""Drama""]"
268,Clean,156,1969,China,"Hagenes, Shields and Jakubowski",http://dummyimage.com/186x100.png/dddddd/000000,"[""Drama""]"
269,"Sing a Song of Sex (Treatise on Japanese Bawdy Songs, A) (Nihon shunka-kô)",33,1962,Indonesia,Kassulke-Kessler,http://dummyimage.com/249x100.png/dddddd/000000,"[""Thriller""]"
270,Backdraft,39,1952,United States,Schaden LLC,http://dummyimage.com/201x100.png/ff4444/ffffff,"[""Action"",""Drama""]"
271,It's a Wonderful Afterlife,73,1990,Japan,Schamberger-Ward,http://dummyimage.com/179x100.png/ff4444/ffffff,"[""Comedy"",""Drama"",""Horror"",""Romance""]"
272,Endless Love,89,1952,Colombia,"Hermann, Bahringer and Will",http://dummyimage.com/191x100.png/5fa2dd/ffffff,"[""Drama"",""Romance""]"
273,Gurren Lagann: The Lights in the Sky are Stars (Gekijô ban Tengen toppa guren ragan: Ragan hen),189,1991,Russia,Schaefer-Sauer,http://dummyimage.com/153x100.png/cc0000/ffffff,"[""Adventure"",""Animation"",""Drama"",""Sci-Fi"",""War""]"
274,Foreign Student,182,2002,Indonesia,Murazik and Sons,http://dummyimage.com/171x100.png/ff4444/ffffff,"[""Drama""]"
275,Forget Baghdad: Jews and Arabs - The Iraqi Connection,99,1958,Kazakhstan,Hintz-Osinski,http://dummyimage.com/216x100.png/dddddd/000000,"[""Documentary""]"
276,"Scribbler, The",52,1994,Indonesia,Collier-Corkery,http://dummyimage.com/156x100.png/dddddd/000000,"[""Sci-Fi"",""Thriller""]"
277,"Vampire Lovers, The",141,1988,China,"Heidenreich, Dare and Graham",http://dummyimage.com/243x100.png/5fa2dd/ffffff,"[""Horror""]"
278,Goodbye to Language 3D,94,1975,Russia,"Herzog, Metz and Hahn",http://dummyimage.com/193x100.png/dddddd/000000,"[""Drama""]"
279,Emma's Bliss (Emmas Glück),27,2023,Indonesia,Rolfson Group,http://dummyimage.com/245x100.png/cc0000/ffffff,"[""Drama"",""Romance""]"
280,Everybody's Woman (La signora di tutti),118,1978,Armenia,Pfannerstill-Swift,http://dummyimage.com/207x100.png/cc0000/ffffff,"[""Drama""]"
281,Prime Suspect 7: The Final Act,184,2001,Israel,"Stamm, Beatty and D'Amore",http://dummyimage.com/233x100.png/cc0000/ffffff,"[""Crime"",""Drama"",""Mystery"",""Thriller""]"
282,Coronado,135,1973,Indonesia,Stoltenberg and Sons,http://dummyimage.com/117x100.png/ff4444/ffffff,"[""Action"",""Adventure"",""War""]"
283,Shanghai Noon,174,1966,United States,"Kuphal, Robel and Runte",http://dummyimage.com/136x100.png/cc0000/ffffff,"[""Action"",""Adventure"",""Comedy"",""Western""]"
284,Out of Time,93,1994,France,"Mraz, Lebsack and Buckridge",http://dummyimage.com/228x100.png/cc0000/ffffff,"[""Crime"",""Drama"",""Thriller""]"
285,Coronado,55,1963,United States,Waelchi-Friesen,http://dummyimage.com/210x100.png/cc0000/ffffff,"[""Action"",""Adventure"",""War""]"
286,Private Lives,128,1953,Nigeria,"Kessler, Cummings and Walker",http://dummyimage.com/209x100.png/dddddd/000000,"[""Comedy"",""Drama""]"
287,"Serpent's Egg, The (Schlangenei, Das)",39,2022,Indonesia,O'Hara-Hand,http://dummyimage.com/119x100.png/cc0000/ffffff,"[""Drama"",""Thriller""]"
288,The Lost Prince,16,1950,Indonesia,"Kulas, Mayert and Mitchell",http://dummyimage.com/208x100.png/cc0000/ffffff,"[""Drama""]"
289,Bad Lieutenant,106,1971,China,"Bashirian, Willms and Watsica",http://dummyimage.com/104x100.png/5fa2dd/ffffff,"[""Crime"",""Drama""]"
290,"Vampire Bat, The",110,1987,Japan,Crona Inc,http://dummyimage.com/236x100.png/dddddd/000000,"[""Horror""]"
291,"King of Kings, The",146,1952,Colombia,Brown-Greenholt,http://dummyimage.com/119x100.png/5fa2dd/ffffff,"[""Drama""]"
292,Halls of Montezuma,118,1984,Philippines,Homenick and Sons,http://dummyimage.com/135x100.png/ff4444/ffffff,"[""Adventure"",""War""]"
293,Emperor,157,2012,Poland,Murazik and Sons,http://dummyimage.com/192x100.png/cc0000/ffffff,"[""Drama"",""War""]"
294,Stateside,196,1952,Brazil,Grant-Wilderman,http://dummyimage.com/220x100.png/dddddd/000000,"[""Drama""]"
295,"Alarmist, The (a.k.a. Life During Wartime)",196,1962,Portugal,"Stiedemann, Dicki and Walter",http://dummyimage.com/247x100.png/cc0000/ffffff,"[""Comedy""]"
296,"Tale of Zatoichi, The (Zatôichi monogatari) (Zatôichi 1)",200,2016,Tanzania,Kunze LLC,http://dummyimage.com/135x100.png/ff4444/ffffff,"[""Drama""]"
297,"King of Marvin Gardens, The",140,1966,Kenya,Hoppe-Kuphal,http://dummyimage.com/227x100.png/ff4444/ffffff,"[""Crime"",""Drama""]"
298,To Paint or Make Love (Peindre ou faire l'amour),69,1999,Indonesia,"Ziemann, Fahey and Gibson",http://dummyimage.com/114x100.png/cc0000/ffffff,"[""Comedy""]"
299,Badman's Country,54,1973,France,Rippin and Sons,http://dummyimage.com/245x100.png/cc0000/ffffff,"[""Western""]"
300,New York,47,1962,Czech Republic,Smith Inc,http://dummyimage.com/188x100.png/ff4444/ffffff,"[""Crime"",""Drama"",""Thriller""]"
301,Gray Lady Down,58,1958,Indonesia,"Maggio, Streich and Kihn",http://dummyimage.com/216x100.png/dddddd/000000,"[""Drama"",""Thriller""]"
302,"Execution of P, The (Kinatay)",110,1990,South Korea,Stokes LLC,http://dummyimage.com/116x100.png/cc0000/ffffff,"[""Crime"",""Thriller""]"
303,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",199,1962,Poland,Kertzmann-Tillman,http://dummyimage.com/155x100.png/5fa2dd/ffffff,"[""Drama"",""Musical"",""Romance""]"
304,Howling III: The Marsupials,166,2007,Portugal,"Reilly, Howe and Leuschke",http://dummyimage.com/228x100.png/ff4444/ffffff,"[""Comedy"",""Horror""]"
305,Abraham's Valley (Vale Abraão),168,1955,Brazil,Veum-Thiel,http://dummyimage.com/209x100.png/cc0000/ffffff,"[""Drama""]"
306,The Hunters,45,1958,United Kingdom,Swift LLC,http://dummyimage.com/162x100.png/dddddd/000000,"[""Adventure""]"
307,According to Greta,153,2017,China,"Kuvalis, Bruen and Larson",http://dummyimage.com/145x100.png/ff4444/ffffff,"[""Drama"",""Romance""]"
308,The Haunting of Helena,179,2004,Brazil,Mitchell-Kilback,http://dummyimage.com/100x100.png/cc0000/ffffff,"[""Horror"",""Thriller""]"
309,Indiana Jones and the Temple of Doom,118,2012,Japan,Flatley-Kilback,http://dummyimage.com/147x100.png/cc0000/ffffff,"[""Action"",""Adventure"",""Fantasy""]"
310,Another Country,53,1970,Indonesia,Mohr-McLaughlin,http://dummyimage.com/143x100.png/dddddd/000000,"[""Drama"",""Romance""]"
311,"Statement, The",196,1989,Canada,"Kreiger, Jacobs and Cole",http://dummyimage.com/108x100.png/5fa2dd/ffffff,"[""Drama"",""Thriller""]"
312,"Night Listener, The",56,1995,Colombia,Heidenreich and Sons,http://dummyimage.com/242x100.png/cc0000/ffffff,"[""Fantasy"",""Mystery"",""Thriller""]"
313,Two Deaths,30,1974,Brazil,Lindgren-Schaefer,http://dummyimage.com/142x100.png/dddddd/000000,"[""Drama""]"
314,Bag It,125,1973,China,"Schuppe, Reichel and Rodriguez",http://dummyimage.com/205x100.png/cc0000/ffffff,"[""Documentary""]"
315,Caddyshack,44,1964,Colombia,Gutkowski Group,http://dummyimage.com/173x100.png/cc0000/ffffff,"[""Comedy""]"
316,Model Shop,185,2012,China,Erdman and Sons,http://dummyimage.com/113x100.png/cc0000/ffffff,"[""Drama""]"
317,DEFCON: The Documentary,45,1968,Germany,Schaefer and Sons,http://dummyimage.com/218x100.png/ff4444/ffffff,"[""Documentary""]"
318,Zeitgeist: The Movie,79,1979,Mexico,Gulgowski and Sons,http://dummyimage.com/203x100.png/cc0000/ffffff,"[""Documentary"",""War""]"
319,"Sting II, The",81,1965,Czech Republic,Gibson-Heidenreich,http://dummyimage.com/110x100.png/5fa2dd/ffffff,"[""Comedy"",""Crime""]"
320,Too Many Cooks,38,1963,Portugal,"Flatley, Jakubowski and Gutmann",http://dummyimage.com/205x100.png/5fa2dd/ffffff,"[""Comedy""]"
321,River of Grass,53,1964,Brazil,Jakubowski-Funk,http://dummyimage.com/240x100.png/ff4444/ffffff,"[""Drama""]"
322,Standby,197,2024,Belarus,Spinka-Armstrong,http://dummyimage.com/246x100.png/ff4444/ffffff,"[""Comedy"",""Romance""]"
323,Chocolat,190,2006,Japan,Cole-McGlynn,http://dummyimage.com/163x100.png/dddddd/000000,"[""Drama"",""Romance""]"
324,War of the Buttons,54,2009,Palestinian Territory,Stiedemann Inc,http://dummyimage.com/171x100.png/cc0000/ffffff,"[""Adventure"",""Children"",""Drama""]"
325,"Tree of Wooden Clogs, The (L'albero degli zoccoli)",16,2000,Kenya,"Shanahan, Hintz and Rolfson",http://dummyimage.com/124x100.png/dddddd/000000,"[""Drama""]"
326,Destruction Force,70,2021,Argentina,Halvorson-Sawayn,http://dummyimage.com/175x100.png/dddddd/000000,"[""Crime""]"
327,Batman: Mask of the Phantasm,92,1992,China,"Feil, Goodwin and Nienow",http://dummyimage.com/164x100.png/cc0000/ffffff,"[""Animation"",""Children""]"
328,Man of a Thousand Faces,38,1954,China,Steuber-O'Conner,http://dummyimage.com/241x100.png/5fa2dd/ffffff,"[""Drama""]"
329,Second Skin (Segunda Piel),92,1959,China,Hermiston-Pollich,http://dummyimage.com/214x100.png/dddddd/000000,"[""Drama"",""Romance""]"
330,Sour Grapes,180,2014,Thailand,Kozey LLC,http://dummyimage.com/221x100.png/ff4444/ffffff,"[""Comedy""]"
331,Say Anything...,122,2019,Peru,"Douglas, Larson and Sipes",http://dummyimage.com/234x100.png/cc0000/ffffff,"[""Comedy"",""Drama"",""Romance""]"
332,This Is the End,81,2003,Pakistan,"Hickle, Volkman and Langosh",http://dummyimage.com/102x100.png/dddddd/000000,"[""Action"",""Comedy""]"
333,Born to Be Wild,198,1954,Republic of the Congo,"Welch, Dietrich and Koch",http://dummyimage.com/130x100.png/cc0000/ffffff,"[""Adventure"",""Children"",""Comedy"",""Drama""]"
334,Camouflage,93,1971,Indonesia,"Connelly, Gulgowski and White",http://dummyimage.com/125x100.png/dddddd/000000,"[""Action"",""Comedy""]"
335,"Ugly, Dirty and Bad (Brutti sporchi e cattivi)",38,1970,France,Rolfson Inc,http://dummyimage.com/150x100.png/ff4444/ffffff,"[""Comedy"",""Drama""]"
336,Dragonlance: Dragons of Autumn Twilight,103,1967,Haiti,Bashirian-Kuhlman,http://dummyimage.com/166x100.png/cc0000/ffffff,"[""Action"",""Adventure"",""Animation"",""Fantasy""]"
337,Starcrash (a.k.a. Star Crash),167,1950,Zambia,O'Hara Inc,http://dummyimage.com/227x100.png/cc0000/ffffff,"[""Action"",""Adventure"",""Fantasy"",""Sci-Fi""]"
338,World's Greatest Dad,129,1964,Ukraine,Schneider and Sons,http://dummyimage.com/226x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
339,Partly Cloudy,24,1975,Philippines,Reynolds-Sipes,http://dummyimage.com/108x100.png/5fa2dd/ffffff,"[""Animation"",""Children"",""Comedy"",""Fantasy""]"
340,Mademoiselle Chambon,15,1974,Portugal,Kub and Sons,http://dummyimage.com/162x100.png/ff4444/ffffff,"[""Drama"",""Romance""]"
341,Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland),46,2014,Mexico,Rutherford-O'Hara,http://dummyimage.com/136x100.png/5fa2dd/ffffff,"[""Comedy"",""Drama""]"
342,Gilles' Wife (La femme de Gilles),174,2009,Brazil,Harris-Dooley,http://dummyimage.com/201x100.png/ff4444/ffffff,"[""Drama""]"
343,Max,114,1958,Brazil,Mosciski-Raynor,http://dummyimage.com/104x100.png/dddddd/000000,"[""Drama""]"
344,Housesitter,114,2006,China,Schamberger-Huels,http://dummyimage.com/205x100.png/ff4444/ffffff,"[""Comedy"",""Romance""]"
345,Fly Me to the Moon,160,1981,Poland,Kemmer and Sons,http://dummyimage.com/186x100.png/5fa2dd/ffffff,"[""Adventure"",""Animation"",""Children"",""IMAX""]"
346,Battle for the Planet of the Apes,28,1999,Indonesia,Williamson and Sons,http://dummyimage.com/237x100.png/5fa2dd/ffffff,"[""Action"",""Sci-Fi""]"
347,"Late George Apley, The",19,2014,Slovenia,Nicolas-Muller,http://dummyimage.com/152x100.png/5fa2dd/ffffff,"[""Comedy""]"
348,Suzanne's Career (La carrière de Suzanne),59,2015,Malaysia,Bashirian-Kuhlman,http://dummyimage.com/121x100.png/ff4444/ffffff,"[""Romance""]"
349,"Blue and the Gray, The",188,1969,Serbia,"O'Kon, Cummings and Witting",http://dummyimage.com/206x100.png/dddddd/000000,"[""Drama"",""War""]"
350,Up in the Air,28,2012,China,"Waelchi, Robel and Klocko",http://dummyimage.com/162x100.png/cc0000/ffffff,"[""Drama"",""Romance""]"
351,"Dish, The",76,1992,Philippines,Kreiger Group,http://dummyimage.com/217x100.png/dddddd/000000,"[""Comedy""]"
352,Blue Gate Crossing (Lan se da men),38,1962,Moldova,"Brekke, Schneider and Borer",http://dummyimage.com/117x100.png/5fa2dd/ffffff,"[""Drama"",""Romance""]"
353,"Ella Lola, a la Trilby",182,2021,Honduras,Collier LLC,http://dummyimage.com/110x100.png/5fa2dd/ffffff,"[""(no genres listed)""]"
354,Expired,103,1965,Indonesia,Terry LLC,http://dummyimage.com/174x100.png/dddddd/000000,"[""Comedy"",""Drama"",""Romance""]"
355,"Brief History of Time, A",67,2012,Indonesia,"Rau, Monahan and Armstrong",http://dummyimage.com/136x100.png/5fa2dd/ffffff,"[""Documentary""]"
356,"Ladykillers, The",196,1988,Nicaragua,"Hermiston, Leuschke and McDermott",http://dummyimage.com/191x100.png/cc0000/ffffff,"[""Comedy"",""Crime""]"
357,Tess of the Storm Country,48,1991,Morocco,Kunze-Stoltenberg,http://dummyimage.com/114x100.png/dddddd/000000,"[""Drama""]"
358,Strawberry Wine,40,2017,Vietnam,Kuvalis Group,http://dummyimage.com/208x100.png/dddddd/000000,"[""Drama""]"
